"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lflavo2a002638",1388.18394039379,-0.365507935735701,0.0973926147522303,-3.75293277283462,0.000174777738426546,0.0176614010868242
"Lflavo2a002605",254.652956556364,0.629240909603374,0.188793732332427,3.33295444625996,0.000859290103835274,0.0401945105721256
"Lflavo2a011237",4140.84241609699,0.307601675749815,0.0863909366575623,3.56057808435497,0.000370039250288489,0.0256871594352435
"Lflavo2a011301",951.06107734822,-0.271041023631747,0.0823670835825174,-3.29064732952711,0.000999571433712794,0.0436681807089346
"Lflavo2a011218",2188.82732274834,-0.140280186736624,0.0423284129709749,-3.31409039202146,0.0009194177930133,0.0414673008001422
"Lflavo2a013213",346.075684078531,-0.271599646147345,0.0745422182327724,-3.64356806902664,0.000268884500441075,0.0223594267398031
"Lflavo2a006593",1530.38613103975,-0.384718945184096,0.113284476327175,-3.39604293242259,0.000683676351385399,0.0356800467123538
"Lflavo2a012963",618.289454909755,0.33662277924844,0.0972479129724018,3.46149103831124,0.000537192004903392,0.0313022173368159
"Lflavo2a013023",1582.67241316866,0.748896028436087,0.192075724625103,3.89896240088537,9.66057726816424e-05,0.0148308439099529
"Lflavo2a012948",9121.21993576551,0.565036321782537,0.173506762507358,3.25656656615085,0.00112768485402949,0.0459301438250887
"Lflavo2a006993",3164.91598911127,-0.561188284203129,0.151329049007996,-3.70839761355717,0.000208574963924102,0.0193610922907687
"Lflavo2a007096",410.274947713588,-0.318232952183608,0.0828029065372875,-3.84325823200786,0.000121411600353767,0.0160154960640048
"Lflavo2a006923",1020.50645243081,0.228965484888994,0.0598526082683787,3.82548883855343,0.000130512847876675,0.0160154960640048
"Lflavo2a006877",448.363409923055,-0.350767771134179,0.0820750770322688,-4.27374281959272,1.92218737597845e-05,0.00807622201180841
"Lflavo2a006927",6099.17061296359,0.182955375031591,0.0510713382341138,3.58234934422343,0.00034051800196704,0.024144012891061
"Lflavo2a007068",1775372.76201626,-0.641551743152235,0.173868276460739,-3.6898723344572,0.000224366620627484,0.0199013192496578
"Lflavo2a006931",222.436088909553,0.594692021376982,0.165988772175513,3.58272438299724,0.000340029321798432,0.024144012891061
"Lflavo2a006912",111.313377386393,0.56686793503973,0.161134093623902,3.5179887899009,0.000434830731129279,0.027336994303258
"Lflavo2a013921",1421.44306909234,-0.258032597342638,0.0698706339138846,-3.69300495628339,0.00022161970209147,0.0198785402449012
"Lflavo2a013941",933.33231671521,0.374154423052338,0.11252818759579,3.32498399775467,0.000884236100079511,0.040802640386906
"Lflavo2a014012",612.745361062505,0.189819105167977,0.0588281875715605,3.22666927205729,0.00125240128546428,0.0482906292001721
"Lflavo2a005034",1023.80552313684,0.324161934902098,0.0984179594672379,3.29372745235596,0.000988683138455908,0.0436681807089346
"Lflavo2a004523",927.089465323433,0.277275295320599,0.0863367323432172,3.21155651592578,0.00132018000506274,0.0496044407296893
"Lflavo2a014285",4273.70307564843,-0.452529961186412,0.108145065237223,-4.18447166492302,2.8583009511209e-05,0.00990146883382428
"Lflavo2a005188",2398.41475751561,0.282919496278769,0.0732586334359747,3.8619270249701,0.000112496172379065,0.0159778162369602
"Lflavo2a005245",660.058171084732,0.25923042426339,0.0777907819228658,3.33240543230986,0.000860987261409681,0.0401945105721256
"Lflavo2a005636",2642.72668426662,-0.566148280955375,0.148551015502768,-3.81113706317831,0.000138329037876644,0.0160154960640048
"Lflavo2a006170",1059.05959735985,-0.214886427194778,0.0547299985298215,-3.92630062063111,8.62623327361519e-05,0.0143465042131813
