"GO.ID","Ontology","Term","result"
"GO:0007601","BP","visual perception","2.2e-08"
"GO:0009584","BP","detection of visible light","4.3e-05"
"GO:0043052","BP","thermotaxis","0.00013"
"GO:0007602","BP","phototransduction","0.00033"
"GO:0060259","BP","regulation of feeding behavior","0.0032"
"GO:0071482","BP","cellular response to light stimulus","0.0037"
"GO:0016056","BP","rhodopsin mediated signaling pathway","0.004"
"GO:0042401","BP","cellular biogenic amine biosynthetic process","0.004"
"GO:0009168","BP","purine ribonucleoside monophosphate biosynthetic process","0.004"
"GO:0045494","BP","photoreceptor cell maintenance","0.0047"
"GO:0002385","BP","mucosal immune response","0.0047"
"GO:1903351","BP","cellular response to dopamine","0.0064"
"GO:0008277","BP","regulation of G protein-coupled receptor signaling pathway","0.0084"
"GO:0016028","CC","rhabdomere","4.4e-05"
"GO:0019897","CC","extrinsic component of plasma membrane","0.0043"
"GO:0098797","CC","plasma membrane protein complex","0.0095"
"GO:0017124","MF","SH3 domain binding","0.0049"
