"GO.ID","Ontology","Term","result"
"GO:0035186","BP","syncytial blastoderm mitotic cell cycle","0.0012"
"GO:0006271","BP","DNA strand elongation involved in DNA replication","0.0012"
"GO:0006082","BP","organic acid metabolic process","0.0037"
"GO:0001578","BP","microtubule bundle formation","0.0043"
"GO:0071229","BP","cellular response to acid chemical","0.0045"
"GO:0000727","BP","double-strand break repair via break-induced replication","0.0045"
"GO:0051299","BP","centrosome separation","0.0049"
"GO:0030317","BP","flagellated sperm motility","0.0077"
"GO:0010501","BP","RNA secondary structure unwinding","0.0083"
"GO:0005813","CC","centrosome","0.00059"
"GO:0030684","CC","preribosome","9e-04"
"GO:0005871","CC","kinesin complex","0.0011"
"GO:0030687","CC","preribosome, large subunit precursor","0.0058"
"GO:0009986","CC","cell surface","0.0062"
"GO:0005930","CC","axoneme","0.0069"
"GO:0005524","MF","ATP binding","0.0019"
"GO:0016887","MF","ATP hydrolysis activity","0.0062"
"GO:0008017","MF","microtubule binding","0.0072"
"GO:0042393","MF","histone binding","0.0089"
