"GO.ID","Ontology","Term","result"
"GO:0006120","BP","mitochondrial electron transport, NADH to ubiquinone","1.4e-16"
"GO:1902600","BP","proton transmembrane transport","1.4e-16"
"GO:0006099","BP","tricarboxylic acid cycle","2.5e-15"
"GO:0019646","BP","aerobic electron transport chain","4.0e-13"
"GO:0015986","BP","proton motive force-driven ATP synthesis","3.4e-12"
"GO:0042775","BP","mitochondrial ATP synthesis coupled electron transport","9.8e-11"
"GO:0006122","BP","mitochondrial electron transport, ubiquinol to cytochrome c","8.6e-09"
"GO:0006096","BP","glycolytic process","1.8e-06"
"GO:0006030","BP","chitin metabolic process","1.5e-05"
"GO:0006811","BP","ion transport","2.4e-05"
"GO:0051452","BP","intracellular pH reduction","6.7e-05"
"GO:0006084","BP","acetyl-CoA metabolic process","0.00018"
"GO:0046164","BP","alcohol catabolic process","0.00031"
"GO:0009072","BP","aromatic amino acid family metabolic process","0.00039"
"GO:0019752","BP","carboxylic acid metabolic process","0.00041"
"GO:0006936","BP","muscle contraction","0.00077"
"GO:1901605","BP","alpha-amino acid metabolic process","0.00082"
"GO:0006479","BP","protein methylation","0.00088"
"GO:0006637","BP","acyl-CoA metabolic process","0.00089"
"GO:0060438","BP","trachea development","0.0016"
"GO:0035002","BP","liquid clearance, open tracheal system","0.0023"
"GO:0008362","BP","chitin-based embryonic cuticle biosynthetic process","0.0023"
"GO:0000302","BP","response to reactive oxygen species","0.0035"
"GO:0017004","BP","cytochrome complex assembly","0.0042"
"GO:0035159","BP","regulation of tube length, open tracheal system","0.0051"
"GO:0022900","BP","electron transport chain","0.0065"
"GO:1902652","BP","secondary alcohol metabolic process","0.007"
"GO:0009063","BP","cellular amino acid catabolic process","0.0078"
"GO:0042593","BP","glucose homeostasis","0.0079"
"GO:0032504","BP","multicellular organism reproduction","0.0096"
"GO:0005747","CC","mitochondrial respiratory chain complex I","2.1e-21"
"GO:0005746","CC","mitochondrial respirasome","1.5e-19"
"GO:0098803","CC","respiratory chain complex","1.5e-19"
"GO:0070069","CC","cytochrome complex","1.3e-15"
"GO:0098800","CC","inner mitochondrial membrane protein complex","2.4e-14"
"GO:1990204","CC","oxidoreductase complex","3.4e-13"
"GO:0005753","CC","mitochondrial proton-transporting ATP synthase complex","2.6e-09"
"GO:0033177","CC","proton-transporting two-sector ATPase complex, proton-transporting domain","3.2e-08"
"GO:0033178","CC","proton-transporting two-sector ATPase complex, catalytic domain","4.9e-07"
"GO:0016021","CC","integral component of membrane","5.4e-07"
"GO:0045239","CC","tricarboxylic acid cycle enzyme complex","9.9e-07"
"GO:1902495","CC","transmembrane transporter complex","1.2e-06"
"GO:0016471","CC","vacuolar proton-transporting V-type ATPase complex","8.7e-06"
"GO:0005887","CC","integral component of plasma membrane","2.5e-05"
"GO:0005759","CC","mitochondrial matrix","4.5e-05"
"GO:0033181","CC","plasma membrane proton-transporting V-type ATPase complex","7.1e-05"
"GO:0032589","CC","neuron projection membrane","0.00041"
"GO:0030017","CC","sarcomere","0.0014"
"GO:0030018","CC","Z disc","0.0017"
"GO:0031430","CC","M band","0.0036"
"GO:0036379","CC","myofilament","0.0036"
"GO:0099081","CC","supramolecular polymer","0.0038"
"GO:0005604","CC","basement membrane","0.0051"
"GO:0031012","CC","extracellular matrix","0.0069"
"GO:0005615","CC","extracellular space","0.0097"
"GO:0008137","MF","NADH dehydrogenase (ubiquinone) activity","1.2e-15"
"GO:0046933","MF","proton-transporting ATP synthase activity, rotational mechanism","6.6e-10"
"GO:0009055","MF","electron transfer activity","1.5e-09"
"GO:0003954","MF","NADH dehydrogenase activity","6.5e-08"
"GO:0015453","MF","oxidoreduction-driven active transmembrane transporter activity","2.8e-07"
"GO:0004129","MF","cytochrome-c oxidase activity","3.6e-07"
"GO:0022853","MF","active ion transmembrane transporter activity","5.5e-07"
"GO:0015078","MF","proton transmembrane transporter activity","1.2e-06"
"GO:0008061","MF","chitin binding","2.8e-06"
"GO:0046961","MF","proton-transporting ATPase activity, rotational mechanism","8.3e-06"
"GO:0008276","MF","protein methyltransferase activity","0.00046"
"GO:0020037","MF","heme binding","0.00053"
"GO:0051537","MF","2 iron, 2 sulfur cluster binding","0.00056"
"GO:0015267","MF","channel activity","8e-04"
"GO:0016878","MF","acid-thiol ligase activity","0.00091"
"GO:0008307","MF","structural constituent of muscle","0.0012"
"GO:0008010","MF","structural constituent of chitin-based larval cuticle","0.0012"
"GO:0016616","MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","0.0019"
"GO:0051287","MF","NAD binding","0.003"
"GO:0015370","MF","solute:sodium symporter activity","0.0041"
"GO:0016787","MF","hydrolase activity","0.0046"
"GO:0004568","MF","chitinase activity","0.005"
"GO:0008514","MF","organic anion transmembrane transporter activity","0.008"
"GO:0016627","MF","oxidoreductase activity, acting on the CH-CH group of donors","0.0095"
